SYMBOL	fold
AHI1	7
AHNAK	8
AHNAK2	2
AHR	4
AHRR	0
AHSA1	6
AIDA	2
AIF1L	9
AIFM1	3
AIFM2	0
AIG1	9
AIMP1	2
AIMP2	8
AIP	5
AJUBA	2
AK2	9
AK3	4
AK4	4
AK5	5
AK6	5
AKAP1	4
AKAP10	5
AKAP11	1
AKAP12	2
AKAP13	0
AKAP17A	4
AKAP5	2
AKAP7	5
AKAP8	1
AKAP8L	4
AKAP9	1
AKIP1	9
AKIRIN1	8
AKIRIN2	4
AKNA	4
AKR1A1	4
AKR1B1	1
AKR1C1	8
AKR1C2	7
AKR1C3	2
AKR7A2	1
AKT1	5
AKT1S1	5
AKT2	1
AKT3	4
AKTIP	9
AL135905.2	0
AL162231.1	4
AL359736.1	2
AL589666.1	4
ALAD	4
ALAS1	2
ALCAM	0
ALDH16A1	5
ALDH18A1	1
ALDH1A1	3
ALDH1A2	0
ALDH1A3	3
ALDH1B1	7
ALDH1L2	0
ALDH2	0
ALDH3A2	5
ALDH3B1	4
ALDH4A1	2
ALDH5A1	3
ALDH6A1	6
ALDH7A1	0
ALDH9A1	4
ALDOA	9
ALDOC	8
ALG1	8
ALG10	0
ALG10B	1
ALG11	2
ALG12	4
ALG13	7
ALG14	5
ALG2	6
ALG3	4
ALG5	9
ALG6	3
ALG8	5
ALKBH1	1
ALKBH2	8
ALKBH3	4
ALKBH4	1
ALKBH5	1
ALKBH6	0
ALKBH7	4
ALKBH8	9
ALMS1	0
ALPK1	5
ALPK2	6
ALPL	1
ALS2	2
ALX1	8
ALYREF	5
AMACR	7
AMBRA1	0
AMD1	5
AMDHD2	5
AMER1	6
AMFR	7
AMIGO1	3
AMIGO2	0
AMMECR1	7
AMMECR1L	6
AMN1	7
AMOT	0
AMOTL1	4
AMOTL2	3
AMPD2	1
AMPD3	4
AMPH	8
AMZ2	2
ANAPC1	8
ANAPC10	0
ANAPC11	3
ANAPC13	2
ANAPC15	1
ANAPC16	9
ANAPC2	6
ANAPC4	5
ANAPC5	4
ANAPC7	3
ANG	6
ANGEL1	9
ANGEL2	1
ANGPT1	0
ANGPTL2	2
ANGPTL4	1
ANK2	9
ANK3	6
ANKEF1	7
ANKFY1	3
ANKH	8
ANKIB1	5
ANKLE2	0
ANKMY2	0
ANKRA2	6
ANKRD1	1
ANKRD10	1
ANKRD11	6
ANKRD12	7
ANKRD13A	5
ANKRD13B	9
ANKRD13C	2
ANKRD13D	0
ANKRD16	3
ANKRD17	1
ANKRD26	4
ANKRD27	2
ANKRD28	6
ANKRD33B	3
ANKRD37	8
ANKRD39	2
ANKRD40	2
ANKRD42	3
ANKRD44	8
ANKRD46	5
ANKRD49	1
ANKRD50	2
ANKRD52	5
ANKRD54	0
ANKRD9	9
ANKS1A	6
ANKS3	1
ANKS6	5
ANKZF1	4
ANLN	7
ANO10	6
ANO5	6
ANO6	6
ANO8	5
ANOS1	1
ANP32A	0
ANP32B	1
ANP32E	5
ANPEP	3
ANTKMT	1
ANTXR1	5
ANTXR2	7
ANXA1	0
ANXA11	4
ANXA2	9
ANXA3	4
ANXA4	5
ANXA5	2
ANXA6	9
ANXA7	7
AOPEP	1
AOX1	5
AP002495.1	4
AP1AR	7
AP1B1	7
AP1G1	5
AP1G2	4
AP1M1	3
AP1M2	7
AP1S1	9
AP1S2	9
AP2A1	4
AP2A2	1
AP2B1	9
AP2M1	1
AP2S1	2
AP3B1	7
AP3D1	4
AP3M1	2
AP3M2	4
AP3S1	9
AP3S2	4
AP4B1	1
AP4E1	0
AP4M1	0
AP4S1	5
AP5B1	5
AP5M1	6
AP5S1	0
AP5Z1	2
APAF1	8
APBA2	3
APBA3	6
APBB1	9
APBB2	2
APBB3	9
APC	5
APEH	9
APEX1	3
APEX2	1
APH1A	1
APH1B	0
API5	5
APIP	9
APLF	5
APLP1	5
APLP2	2
APMAP	8
APOBEC3B	4
APOBEC3C	2
APOBEC3F	1
APOC1	2
APOE	2
APOL1	6
APOL2	9
APOL6	2
APOLD1	9
APOM	6
APOO	2
APOOL	0
APP	3
APPBP2	2
APPL1	8
APPL2	3
APRT	4
APTX	6
AQP1	4
AQP11	2
AQP3	3
AQR	4
AR	6
ARAF	9
ARAP1	0
ARAP2	9
ARAP3	2
ARC	7
ARCN1	7
AREG	1
AREL1	0
ARF1	5
ARF3	3
ARF4	9
ARF5	3
ARF6	8
ARFGAP1	7
ARFGAP2	5
ARFGAP3	1
ARFGEF1	1
ARFGEF2	6
ARFGEF3	6
ARFIP1	3
ARFIP2	8
ARFRP1	0
ARG2	6
ARGLU1	2
ARHGAP1	6
ARHGAP10	8
ARHGAP11A	7
ARHGAP12	3
ARHGAP17	4
ARHGAP18	4
ARHGAP21	0
ARHGAP23	2
ARHGAP24	7
ARHGAP26	2
ARHGAP27	2
ARHGAP28	1
ARHGAP29	0
ARHGAP31	3
ARHGAP32	9
ARHGAP35	8
ARHGAP39	8
ARHGAP42	3
ARHGAP44	1
ARHGAP45	1
ARHGAP5	3
ARHGDIA	4
ARHGDIB	8
ARHGEF1	3
ARHGEF10L	6
ARHGEF11	8
ARHGEF12	7
ARHGEF16	3
ARHGEF17	0
ARHGEF18	1
ARHGEF19	3
ARHGEF2	7
ARHGEF26	1
ARHGEF28	1
ARHGEF3	7
ARHGEF39	6
ARHGEF40	3
ARHGEF5	0
ARHGEF6	7
ARHGEF7	7
ARHGEF9	3
ARID1A	5
ARID1B	0
ARID2	0
ARID3A	5
ARID3B	8
ARID4A	4
ARID4B	9
ARID5A	5
ARID5B	0
ARIH1	9
ARIH2	5
ARL1	6
ARL10	4
ARL13B	1
ARL14EP	5
ARL15	5
ARL16	3
ARL2	8
ARL2BP	4
ARL3	6
ARL4A	5
ARL4C	8
ARL4D	2
ARL5A	5
ARL5B	6
ARL6	5
ARL6IP1	6
ARL6IP4	7
ARL6IP5	4
ARL6IP6	9
ARL8A	0
ARL8B	2
ARMC1	3
ARMC10	5
ARMC4	4
ARMC5	5
ARMC6	6
ARMC7	3
ARMC8	8
ARMC9	2
ARMCX1	7
ARMCX2	3
ARMCX3	5
ARMCX5	8
ARMCX6	5
ARMH3	4
ARMH4	3
ARMT1	3
ARNT	3
ARNT2	6
ARNTL	8
ARNTL2	2
ARPC1A	6
ARPC1B	9
ARPC2	8
ARPC3	4
ARPC4	2
ARPC5	6
ARPC5L	9
ARPP19	6
ARRB1	7
ARRB2	5
ARRDC1	4
ARRDC2	0
ARRDC3	0
ARRDC4	3
ARSA	0
ARSB	9
ARSD	7
ARSG	6
ARSJ	5
ARSK	3
ARV1	2
ARVCF	5
ASAH1	4
ASAP1	8
ASAP2	0
ASAP3	4
ASB1	9
ASB13	3
ASB3	8
ASB6	6
ASB7	5
ASB8	9
ASB9	3
ASCC1	5
ASCC2	8
ASCC3	1
ASF1A	4
ASF1B	1
ASH1L	2
ASH2L	3
ASIC1	3
ASL	3
ASMTL	4
ASNS	5
ASNSD1	9
ASPH	8
ASPHD1	0
ASPHD2	4
ASPM	9
ASPSCR1	2
ASRGL1	2
ASS1	8
ASTE1	6
ASTN2	7
ASXL1	2
ASXL2	9
ATAD1	9
ATAD2	1
ATAD2B	8
ATAD3A	6
ATAD3B	0
ATAD5	0
ATAT1	5
ATE1	8
ATF1	6
ATF2	3
ATF3	8
ATF4	8
ATF5	8
ATF6	2
ATF6B	3
ATF7	4
ATF7IP	6
ATG10	9
ATG101	9
ATG12	4
ATG13	8
ATG14	8
ATG16L1	8
ATG16L2	4
ATG2A	3
ATG2B	1
ATG3	7
ATG4A	2
ATG4B	7
ATG4C	2
ATG4D	4
ATG5	4
ATG7	9
ATG9A	4
ATIC	5
ATL1	5
ATL2	7
ATL3	5
ATM	0
ATMIN	0
ATN1	0
ATOH8	1
ATOX1	5
ATP10D	4
ATP11A	7
ATP11B	7
ATP11C	9
ATP13A1	0
ATP13A2	6
ATP13A3	6
ATP1A1	0
ATP1B1	9
ATP1B2	5
ATP1B3	1
ATP23	8
ATP2A2	0
ATP2A3	4
ATP2B1	3
ATP2B4	1
ATP2C1	4
ATP5F1A	2
ATP5F1B	2
ATP5F1C	3
ATP5F1D	6
ATP5F1E	2
ATP5IF1	0
ATP5MC1	0
ATP5MC2	0
ATP5MC3	8
ATP5MD	2
ATP5ME	1
ATP5MF	7
ATP5MG	7
ATP5MPL	0
ATP5PB	5
ATP5PD	5
ATP5PF	6
ATP5PO	5
ATP6AP1	1
ATP6AP2	4
ATP6V0A1	2
ATP6V0A2	8
ATP6V0B	1
ATP6V0C	0
ATP6V0D1	0
ATP6V0E1	8
ATP6V0E2	0
ATP6V1A	7
ATP6V1B2	7
ATP6V1C1	4
ATP6V1D	1
ATP6V1E1	7
ATP6V1F	2
ATP6V1G1	3
ATP6V1H	7
ATP7A	4
ATP7B	1
ATP8A1	9
ATP8B1	4
ATP8B2	7
ATP8B3	1
ATP9A	6
ATP9B	3
ATPAF1	4
ATPAF2	2
ATPSCKMT	9
ATR	2
ATRAID	0
ATRIP	9
ATRN	2
ATRX	6
ATXN1	6
ATXN10	2
ATXN1L	6
ATXN2	3
ATXN2L	3
ATXN3	6
ATXN7	2
ATXN7L1	0
ATXN7L2	5
ATXN7L3	7
ATXN7L3B	8
AUH	7
AUNIP	0
AUP1	1
AURKA	1
AURKAIP1	6
AURKB	3
AUTS2	7
AVEN	4
AVL9	1
AVPI1	1
AXIN1	0
AXL	3
AZI2	1
AZIN1	3
AZIN2	1
B2M	3
B3GALNT1	5
B3GALNT2	1
B3GALT6	4
B3GAT3	6
B3GLCT	7
B3GNT10	3
B3GNT2	7
B3GNT5	0
B3GNT9	1
B3GNTL1	8
B4GALNT1	9
B4GALNT3	1
B4GALNT4	6
B4GALT1	6
B4GALT2	2
B4GALT3	3
B4GALT4	4
B4GALT5	9
B4GALT6	2
B4GALT7	6
B4GAT1	8
B9D1	3
B9D2	5
BABAM1	7
BABAM2	1
BACE1	6
BACE2	0
BACH1	5
BACH2	0
BAD	0
BAG1	7
BAG2	3
BAG3	3
BAG4	4
BAG5	9
BAG6	1
BAHCC1	2
BAHD1	5
BAIAP2	4
BAIAP2L1	9
BAK1	9
BAMBI	1
BANF1	9
BANP	5
BAP1	7
BARD1	2
BASP1	5
BATF3	0
BAX	6
BAZ1A	0
BAZ1B	8
BAZ2A	7
BAZ2B	8
BBC3	0
BBIP1	2
BBS10	2
BBS12	1
BBS2	9
BBS4	9
BBS7	3
BBS9	5
BBX	7
BCAM	4
BCAN	4
BCAP31	0
BCAR1	4
BCAR3	1
BCAS2	8
BCAS3	7
BCAS4	1
BCAT1	1
BCAT2	5
BCCIP	1
BCDIN3D	6
BCHE	0
BCKDHA	4
BCKDHB	3
BCKDK	6
BCL10	2
BCL11A	4
BCL2	4
BCL2L1	0
BCL2L11	0
BCL2L12	8
BCL2L13	8
BCL3	0
BCL6	6
BCL7A	3
BCL7B	2
BCL7C	8
BCL9	0
BCL9L	0
BCLAF1	2
BCLAF3	7
BCOR	9
BCORL1	2
BCR	4
BCS1L	2
BDH1	5
BDH2	5
BDNF	0
BDP1	0
BECN1	0
BEND3	8
BEND7	1
BET1	1
BET1L	4
BEX1	3
BEX2	8
BEX3	5
BEX4	6
BFAR	1
BFSP1	4
BGN	8
BHLHE40	4
BHLHE41	1
BICC1	8
BICD1	6
BICD2	1
BICRA	4
BICRAL	5
BID	4
BIK	8
BIN1	4
BIN3	7
BIRC2	7
BIRC5	9
BIRC6	7
BLCAP	7
BLM	5
BLMH	7
BLOC1S1	1
BLOC1S2	9
BLOC1S3	1
BLOC1S4	0
BLOC1S5	1
BLOC1S6	2
BLVRA	8
BLVRB	3
BLZF1	5
BMERB1	5
BMF	7
BMP1	6
BMP2	1
BMP2K	2
BMP4	3
BMP6	4
BMP7	8
BMPER	2
BMPR1A	5
BMPR1B	1
BMPR2	5
BMS1	8
BMT2	5
BNC2	3
BNIP1	9
BNIP2	2
BNIP3	3
BNIP3L	9
BOD1	8
BOD1L1	1
BOK	9
BOLA1	9
BOLA2	2
BOLA3	2
BOP1	6
BORA	1
BORCS5	5
BORCS6	1
BORCS8	9
BPGM	1
BPHL	9
BPNT1	6
BPTF	5
BRAF	1
BRAP	6
BRAT1	8
BRCA1	3
BRCA2	9
BRCC3	5
BRD1	6
BRD2	2
BRD3	2
BRD4	2
BRD7	9
BRD8	2
BRD9	3
BRF1	8
BRF2	3
BRI3	9
BRI3BP	1
BRIP1	4
BRIX1	4
BRK1	2
BRMS1	4
BRMS1L	5
BROX	1
BRPF1	0
BRPF3	0
BRSK2	0
BRWD1	2
BRWD3	1
BSDC1	2
BSG	4
BST2	6
BTAF1	0
BTBD1	7
BTBD10	5
BTBD11	1
BTBD2	0
BTBD3	4
BTBD6	4
BTBD7	7
BTBD8	8
BTBD9	2
BTD	6
BTF3	9
BTF3L4	0
BTG1	1
BTG2	9
BTG3	3
BTN2A1	2
BTN2A2	7
BTN3A1	3
BTN3A2	9
BTN3A3	7
BTRC	6
BUB1	1
BUB1B	3
BUB3	1
BUD13	9
BUD23	2
BUD31	1
BVES	4
BX664615.2	7
BYSL	9
BZW1	3
BZW2	4
C10orf88	7
C11orf1	6
C11orf24	1
C11orf49	5
C11orf54	0
C11orf58	3
C11orf68	7
C11orf71	0
C11orf80	1
C11orf95	2
C11orf96	2
C12orf10	5
C12orf29	0
C12orf4	4
C12orf43	8
C12orf45	8
C12orf49	1
C12orf57	0
C12orf60	6
C12orf65	7
C12orf66	1
C12orf73	0
C12orf75	1
C12orf76	8
C14orf119	6
C14orf132	3
C14orf93	6
C15orf39	6
C15orf40	1
C15orf41	0
C15orf61	6
C15orf65	1
C16orf58	7
C16orf70	7
C16orf72	1
C16orf74	5
C16orf87	7
C16orf91	9
C16orf95	4
C17orf58	8
C17orf75	9
C17orf80	7
C17orf97	4
C18orf21	0
C18orf25	8
C18orf54	1
C19orf12	2
C19orf25	9
C19orf33	8
C19orf44	1
C19orf47	0
C19orf48	8
C19orf53	0
C19orf54	6
C19orf57	4
C19orf81	9
C1D	8
C1GALT1	6
C1GALT1C1	8
C1GALT1C1L	1
C1QBP	5
C1QL1	1
C1QTNF1	8
C1QTNF6	8
C1R	1
C1RL	5
C1S	6
C1orf109	3
C1orf112	1
C1orf115	4
C1orf122	6
C1orf131	3
C1orf159	0
C1orf174	5
C1orf198	8
C1orf21	2
C1orf216	3
C1orf226	1
C1orf35	4
C1orf43	5
C1orf52	2
C1orf53	9
C1orf54	1
C1orf56	0
C1orf74	9
C20orf194	6
C20orf27	0
C20orf96	5
C21orf91	6
C22orf39	9
C2CD2	2
C2CD2L	6
C2CD3	5
C2CD5	4
C2orf42	5
C2orf49	1
C2orf68	3
C2orf69	2
C2orf74	4
C2orf76	7
C3	5
C3orf14	1
C3orf38	7
C3orf52	9
C3orf70	9
C3orf80	1
C4orf3	1
C4orf33	5
C4orf46	0
C4orf48	5
C5orf15	0
C5orf22	5
C5orf24	2
C5orf34	6
C5orf51	3
C5orf63	8
C6orf120	8
C6orf136	5
C6orf226	5
C6orf47	5
C6orf62	0
C6orf89	6
C7orf26	7
C7orf50	4
C8orf33	1
C8orf37	0
C8orf58	7
C8orf76	1
C8orf82	2
C8orf88	9
C9orf116	5
C9orf16	5
C9orf40	5
C9orf64	7
C9orf72	2
C9orf78	9
C9orf85	0
CA11	8
CA12	6
CA13	3
CA2	7
CA5B	0
CA8	0
CAAP1	1
CAB39	4
CAB39L	9
CABIN1	6
CABLES1	4
CABLES2	5
CABYR	1
CACFD1	9
CACHD1	1
CACNA2D1	7
CACNA2D2	6
CACNB1	4
CACNB3	0
CACTIN	9
CACUL1	7
CACYBP	2
CAD	9
CADM1	6
CADM4	8
CADPS2	1
CALCOCO1	3
CALCOCO2	8
CALD1	9
CALHM5	6
CALM1	7
CALM2	5
CALM3	6
CALR	2
CALU	9
CAMK1	5
CAMK1D	8
CAMK2D	0
CAMK2G	3
CAMK2N1	9
CAMK2N2	7
CAMK4	8
CAMKK1	2
CAMKK2	8
CAMKMT	8
CAMLG	8
CAMSAP1	4
CAMSAP2	1
CAMSAP3	7
CAMTA1	1
CAMTA2	7
CAND1	3
CAND2	4
CANT1	0
CANX	7
CAP1	8
CAP2	8
CAPG	3
CAPN1	5
CAPN10	6
CAPN15	9
CAPN2	6
CAPN5	0
CAPN7	4
CAPNS1	3
CAPRIN1	8
CAPRIN2	3
CAPZA1	5
CAPZA2	7
CAPZB	7
CARD10	2
CARD19	8
CARD6	4
CARD8	4
CARHSP1	8
CARM1	4
CARMIL1	3
CARMIL2	3
CARNMT1	1
CARS1	7
CARS2	8
CASC3	7
CASC4	1
CASD1	6
CASK	1
CASKIN2	3
CASP1	1
CASP10	8
CASP2	8
CASP3	2
CASP4	6
CASP6	4
CASP7	7
CASP8	4
CASP9	9
CAST	0
CASTOR1	5
CASTOR2	1
CASTOR3	2
CASZ1	9
CAT	8
CAV1	9
CAV2	0
CAVIN1	5
CAVIN2	1
CAVIN3	8
CBARP	3
CBFA2T2	4
CBFB	4
CBL	4
CBLB	1
CBLL1	6
CBR1	8
CBR3	6
CBR4	3
CBWD1	5
CBWD2	9
CBX1	0
CBX2	6
CBX3	8
CBX4	8
CBX5	9
CBX6	0
CBX7	5
CBX8	7
CBY1	3
CC2D1A	9
CC2D1B	0
CC2D2A	6
CCAR1	7
CCAR2	1
CCBE1	3
CCDC102A	6
CCDC106	6
CCDC107	8
CCDC112	3
CCDC113	7
CCDC115	6
CCDC117	5
CCDC12	9
CCDC120	2
CCDC121	4
CCDC122	8
CCDC124	6
CCDC125	2
CCDC126	7
CCDC127	2
CCDC130	3
CCDC134	8
CCDC136	1
CCDC137	2
CCDC138	5
CCDC14	6
CCDC142	2
CCDC149	6
CCDC15	9
CCDC159	1
CCDC163	5
CCDC167	9
CCDC171	5
CCDC174	3
CCDC18	1
CCDC186	9
CCDC22	2
CCDC24	4
CCDC25	7
CCDC28A	3
CCDC28B	5
CCDC3	5
CCDC32	3
CCDC34	4
CCDC43	1
CCDC47	4
CCDC50	0
CCDC51	2
CCDC57	9
CCDC58	2
CCDC59	2
CCDC6	8
CCDC61	3
CCDC66	3
CCDC71	6
CCDC71L	1
CCDC77	5
CCDC8	4
CCDC80	9
CCDC82	3
CCDC84	6
CCDC85B	1
CCDC85C	6
CCDC86	4
CCDC88A	1
CCDC88C	6
CCDC9	5
CCDC90B	7
CCDC91	1
CCDC92	7
CCDC93	4
CCDC97	2
CCDC9B	3
CCHCR1	4
CCL2	7
CCM2	2
CCN1	5
CCN2	3
CCN3	4
CCNA2	2
CCNB1	3
CCNB1IP1	2
CCNB2	5
CCNC	8
CCND1	1
CCND2	4
CCND3	9
CCNDBP1	4
CCNE1	5
CCNE2	0
CCNF	8
CCNG1	5
CCNG2	0
CCNH	3
CCNI	2
CCNJ	8
CCNJL	9
CCNK	4
CCNL1	0
CCNL2	0
CCNO	9
CCNQ	4
CCNT1	7
CCNT2	3
CCNY	0
CCNYL1	2
CCP110	4
CCPG1	7
CCS	3
CCSAP	0
CCSER2	6
CCT2	4
CCT3	7
CCT4	7
CCT5	9
CCT6A	7
CCT6B	9
CCT7	0
CCT8	6
CD109	8
CD151	4
CD164	2
CD24	0
CD274	3
CD276	1
CD2AP	3
CD2BP2	3
CD320	6
CD3EAP	7
CD40	5
CD44	2
CD46	7
CD47	7
CD55	3
CD58	3
CD59	4
CD63	4
CD68	8
CD70	3
CD74	5
CD81	9
CD82	3
CD83	5
CD9	9
CD99	4
CD99L2	6
CDA	8
CDADC1	2
CDAN1	0
CDC123	0
CDC14A	6
CDC14B	2
CDC16	6
CDC20	1
CDC23	0
CDC25A	1
CDC25B	6
CDC25C	8
CDC26	2
CDC27	3
CDC34	5
CDC37	4
CDC37L1	7
CDC40	7
CDC42	8
CDC42BPA	4
CDC42BPB	2
CDC42EP1	1
CDC42EP3	0
CDC42EP4	1
CDC42SE1	0
CDC42SE2	4
CDC45	7
CDC5L	6
CDC6	3
CDC7	1
CDC73	5
CDCA2	7
CDCA3	1
CDCA4	7
CDCA5	2
CDCA7	0
CDCA7L	2
CDCA8	6
CDCP1	3
CDH1	6
CDH11	0
CDH13	8
CDH2	5
CDH24	5
CDH3	7
CDH4	5
CDH6	3
CDIP1	6
CDIPT	8
CDK1	8
CDK10	9
CDK11A	4
CDK11B	9
CDK12	4
CDK13	7
CDK14	2
CDK16	0
CDK17	2
CDK18	2
CDK19	7
CDK2	8
CDK20	0
CDK2AP1	8
CDK2AP2	2
CDK4	3
CDK5	5
CDK5R1	9
CDK5RAP1	2
CDK5RAP2	7
CDK5RAP3	9
CDK6	7
CDK7	4
CDK8	9
CDK9	6
CDKAL1	5
CDKL1	7
CDKL3	8
CDKL5	2
CDKN1A	5
CDKN1B	5
CDKN1C	6
CDKN2A	5
CDKN2AIP	0
CDKN2AIPNL	8
CDKN2B	2
CDKN2C	2
CDKN2D	8
CDKN3	2
CDO1	0
CDON	8
CDPF1	5
CDR2	3
CDR2L	0
CDS1	3
CDS2	2
CDT1	6
CDV3	7
CDYL	4
CDYL2	2
CEBPA	0
CEBPB	1
CEBPD	7
CEBPG	2
CEBPZ	6
CEBPZOS	2
CECR2	9
CELF1	4
CELF2	5
CELSR1	2
CELSR2	6
CEMIP2	5
CENPA	2
CENPB	8
CENPBD1	1
CENPC	2
CENPE	2
CENPF	6
CENPH	6
CENPI	1
CENPJ	2
CENPK	6
CENPL	8
CENPM	7
CENPN	8
CENPO	2
CENPP	6
CENPQ	8
CENPS	5
CENPT	0
CENPU	1
CENPV	6
CENPW	4
CENPX	4
CEP104	4
CEP112	0
CEP120	8
CEP128	8
CEP131	0
CEP135	7
CEP152	7
CEP162	0
CEP164	2
CEP170	0
CEP170B	0
CEP19	1
CEP192	9
CEP250	8
CEP290	6
CEP295	4
CEP350	1
CEP41	4
CEP44	2
CEP55	3
CEP57	5
CEP57L1	1
CEP63	8
CEP68	8
CEP70	2
CEP72	2
CEP76	0
CEP78	0
CEP83	1
CEP85	8
CEP85L	5
CEP89	1
CEP95	4
CEP97	2
CEPT1	3
CERCAM	0
CERK	4
CERS2	3
CERS4	8
CERS5	1
CERS6	2
CERT1	0
CES2	1
CES3	8
CETN2	6
CETN3	4
CFAP20	5
CFAP298	0
CFAP300	5
CFAP36	0
CFAP410	8
CFAP97	7
CFD	5
CFDP1	1
CFH	8
CFL1	4
CFL2	1
CFLAR	7
CGAS	2
CGGBP1	2
CGN	7
CGNL1	2
CGREF1	4
CGRRF1	3
CHAC1	9
CHAC2	1
CHAF1A	2
CHAF1B	0
CHAMP1	8
CHCHD1	9
CHCHD10	3
CHCHD2	2
CHCHD3	2
CHCHD4	5
CHCHD5	4
CHCHD6	2
CHCHD7	6
CHD1	8
CHD1L	2
CHD2	4
CHD3	3
CHD6	9
CHD7	2
CHD8	9
CHD9	9
CHDH	1
CHEK1	8
CHEK2	3
CHERP	2
CHFR	1
CHIC1	8
CHIC2	5
CHID1	4
CHKA	7
CHKB	2
CHM	1
CHML	7
CHMP1A	8
CHMP1B	4
CHMP2A	8
CHMP2B	9
CHMP3	9
CHMP4A	5
CHMP4B	1
CHMP4C	9
CHMP5	3
CHMP6	4
CHMP7	9
CHN1	6
CHORDC1	7
CHP1	7
CHPF	3
CHPF2	7
CHPT1	5
CHRAC1	6
CHRDL1	9
CHRNA5	5
CHRNB1	1
CHST10	5
CHST11	6
CHST12	0
CHST14	1
CHST15	9
CHST3	1
CHST7	3
CHSY1	9
CHSY3	0
CHTF18	1
CHTF8	6
CHTOP	1
CHUK	3
CHURC1	2
CIAO1	6
CIAO2A	1
CIAO2B	5
CIAO3	6
CIAPIN1	6
CIART	3
CIB1	2
CIB2	8
